Method,Seires,M4_fps,GFLOPs,LaSOT,OrinGPU,OrinCPU,TkNet
MaST-nano,Ours,100,0.612,58.6,230.0,40.3,77.2
MaST-tiny,Ours,72,0.862,63.8,152.0,29.6,80.1
MaST-small,Ours,28,1.940,65.7,84.0,14.3,82.3
AsymTrack-T,AsymTrack,59,0.700,60.8,99.0,21.2,76.2
AsymTrack-S,AsymTrack,51,0.800,62.8,88.0,11.2,77.9
AsymTrack-B,AsymTrack,25,1.800,64.7,57.0,9.8,80.0
HiT-T,HiT,97,0.990,54.7,118.0,28.3,74.6
HiT-S,HiT,78,1.130,60.4,106.0,22.5,77.7
HiT-B,HiT,22,4.340,64.6,79.0,9.2,80.0
MixFormerV2-S,MixFormerV2,21,4.400,60.6,89.1,9.0,75.8
FEAR-xs,FEAR,59,0.530,53.5,146.0,21.5,
LightTrack-M,LightTrack,44,0.483,53.8,125.0,14.4,72.5
AVTrack*,AVTrack*,,2.240*,64.1*,,,80.1*
FERMT,FERMT,31,2.390,65.1,98.0,13.3,80.8
SUTrack-T*,SUTrack-T*,11,5.520*,69.6*,44.0*,5.5*,82.7
CompressT,CompressTracker,17,6.380,60.4,97.3,7.1,78.2
ORTrack-D,ORTrack,52,1.540,54.6,137.0,19.7,
ETTrack,E.T.Track,24.3,1.560,59.1,,,75.0
HCAT,HCAT,,5.480,59.3,,,17.5