Group,Method,Pub.,MACs(G),FPS_NanoCPU,FPS_N100,FPS_Nano,LaSOT_AUC,LaSOT_PNorm,LaSOT_P,TN_AUC,TN_PNorm,TN_P,GOT10k_AO,GOT10k_SR50,GOT10k_SR75,DTB70_AUC,DTB70_PNorm,DTB70_P,UAV123_AUC,UAV123_PNorm,UAV123_P
,ECO,CVPR'17,-,-,13.3,,32.4,33.8,30.1,55.4,61.8,49.2,31.6,30.9,11.1,-,-,-,-,-,-
~2G,FERMT,ECCV'24,2.41,13.3,17.7,84,65.1,74.6,69.1,80.8,80.9,78.1,69.6,80.1,63.2,-,-,-,-,-,-
,AVTrack,ICML'24,2.39,-,17.3,,64.1,73.2,68.0,80.1,84.6,78.0,67.5,77.6,62.4,-,-,-,-,-,-
>2G,HCAT,ECCVW'22,5.48,-,17.5,,59.3,68.7,61.0,76.6,82.6,72.9,65.1,76.5,56.7,-,-,-,-,-,-
>2G,SUTrack-T,AAAI'25,5.52,5.5,7.8,,69.6,79.3,75.4,82.7,87.2,80.8,72.7,82.1,70.5,-,-,-,-,-,-
>2G,CompressTrack-2,arXiv'24,6.78,7.1,11.5,,60.4,68.5,61.5,78.2,83.3,74.8,-,-,-,-,-,-,-,-,-
>2G,LiteTrack-B4,ICRA'24,8.48,4.2,9.4,,62.5,72.1,65.7,79.9,84.9,76.6,65.2,74.7,57.5,-,-,-,-,-,-
~1G,HiT-Tiny,ICCV'23,0.995,28.3,53.3,118,54.8,60.5,52.9,74.6,78.1,68.8,52.6,59.3,42.7,53.3,74.3,71.5,58.7,80.4,78.1
~1G,HiT-Small,ICCV'23,1.13,22.5,43.5,106,60.5,68.3,61.5,77.7,81.9,73.1,62.6,71.2,54.4,59.5,78.4,75.8,63.3,85.7,80.6
>2G,HiT-Base,ICCV'23,4.34,9.2,12.1,79,64.6,73.3,68.1,80.0,84.4,77.3,64.0,72.1,58.1,-,-,-,-,-,-
~1G,HKDT,TCSVT'26,1.54,-,-,,63.8,73.0,67.5,80.0,85.1,77.0,67.6,77.4,60.8,-,-,-,67.1,-,-
~500M,KCF,TPAMI'14,-,87,176,,21.1,22.8,18.4,-,-,-,27.9,26.3,9.9,-,-,-,-,-,-
~1G,E.T.Track,WACV'23,1.56,-,21.1,,59.1,-,-,75.0,80.3,70.6,-,-,-,-,-,-,-,-,-
~500M,LightTrack,CVPR'21,0.483,14.4,60.2,,53.8,-,53.7,72.5,77.8,69.5,61.1,71.0,-,55.1,76.2,73.1,62.6,83.1,80.5
~500M,FEAR-XS,ECCV'22,0.532,21.5,89.1,146,53.5,-,54.5,-,-,-,61.9,72.2,-,54.6,75.7,73.9,59.5,80.8,76.3
~500M,AsymTrack-T,AAAI'25,0.708,21.2,,99,60.8,68.7,61.2,76.2,80.9,71.6,62.3,71.3,54.7,-,-,-,-,-,-
~1G,AsymTrack-S,AAAI'25,0.806,11.2,,88,62.8,71.2,64.8,77.9,82.2,74.0,65.5,74.8,58.9,-,-,-,-,-,-
~2G,AsymTrack-B,AAAI'25,1.81,9.8,,57,64.7,73.0,67.8,80.0,84.5,77.4,67.7,76.6,61.4,-,-,-,-,-,-
~1G,FARTrack_{pico},ICLR'26,1.08,,,,58.6,67.1,59.6,75.6,81.3,70.5,62.8,72.6,50.9,,,,,,
~2G,FARTrack_{nano},ICLR'26,1.78,,,,61.3,69.7,64.1,79.1,84.5,75.6,69.9,81.2,61.4,,,,,,
~2G,FARTrack_{tiny},ICLR'26,2.65,,,,63.2,71.6,66.7,80.7,85.6,77.5,70.6,81.0,63.8,,,,,,
~500M,MaST-nano,Ours,0.585,40.3,64.5,230,58.6,67.7,59.4,77.2,82.5,72.4,61.6,71.8,53.7,61.8,79.9,76.1,62.9,82.4,78.0
~1G,MaST-tiny,Ours,0.836,30.1,48.3,152,63.3,72.2,66.4,80.1,85.3,77.2,66.6,76.0,62.5,63.3,81.9,76.9,66.6,86.9,81.4
~2G,MaST-small,Ours,1.82,14.3,24.6,98,65.8,74.5,70.4,82.3,87.1,80.5,70.0,80.4,67.0,-,-,-,66.43,-,-
~2G,ORTrack,CVPR'25,2.39,,,,54.6,62.6,54.3,73.7,79.1,68.2,-,-,-,,,,,,
~1G,ORTrack-D,CVPR'25,1.54,19.7,-,137,54.6,62.6,54.3,73.7,79.1,68.2,-,-,-,,,,,,