Method, Source, DTB70 Prec. , DTB70 Succ. , UAVDT Prec. , UAVDT Succ. , VisDrone2018 Prec. , VisDrone2018 Succ. , UAV123 Prec. , UAV123 Succ. , Avg. Prec. , Avg. Succ. , FLOPs (GMac) , Param. (M) 
 HiFT [4] , ICCV 21 , 80.2 , 59.4 , 65.2 , 47.5 , 71.9 , 52.6 , 78.7 , 59.0 , 74.0 , 54.6 , 9.9 ,
 TCTrack [5] , CVPR 22 , 81.2 , 62.2 , 72.5 , 53.0 , 79.9 , 59.4 , 80.0 , 60.5 , 78.4 , 58.8 , 9.7 ,
 SGDViT [90] , ICRA 23 , 78.5 , 60.4 , 65.7 , 48.0 , 72.1 , 52.1 , 75.4 , 57.5 , 72.9 , 54.5 , 23.3 ,
 DRCI [93] , ICME 23 , 81.4 , 61.8 , 84.0 , 59.0 , 83.4 , 60.0 , 76.7 , 59.7 , 81.4 , 60.1 , 3.6 , 8.8 
 PRL-Track [22] , IROS 24 , 79.5 , 60.6 , 73.1 , 53.5 , 72.6 , 53.8 , 79.1 , 59.3 , 76.1 , 56.8 , 12.0 ,
 Aba-ViTrack [44] , ICCV 23 , 85.9 , 66.4 , 83.4 , 59.9 , 86.1 , 65.3 , 86.4 , 66.4 , 85.5 , 64.5 , 2.4 , 8.0 
 SMAT [25] , WACV 24 , 81.9 , 63.8 , 80.8 , 58.7 , 82.5 , 63.4 , 81.8 , 64.6 , 81.8 , 62.6 , 3.2 , 8.6 
 AVTrack-DeiT [47] , ICML 24 , 84.3 , 65.0 , 82.1 , 58.7 , 86.0 , 65.3 , 84.8 , 66.8 , 84.2 , 63.8 , 0.97-1.9 , 3.5-7.9 
 ORTrack-DeiT ,CVPR25, 86.2 , 66.4 , 83.4 , 60.1 , 88.6 , 66.8 , 84.3 , 66.4 , 85.6 , 65.0 , 2.4 , 7.9 
 ORTrack-D-DeiT ,CVPR25, 83.7 , 65.1 , 82.5 , 59.7 , 84.6 , 63.9 , 84.0 , 66.1 , 83.7 , 63.7 , 1.5 , 5.3 
MaST-nano,Ours,79.9,61.7,,,,,,,,,,
MaST-tiny,Ours,81.9,63.3,77.8,57.4,,,86.9,66.6,,,,
MaST-small,Ours,85.6,66.2,85.9,62.9,,,86.2,66.5,,,,